id,dailyconfirmed,dailydeceased,dailyrecovered,date,dateymd,totalconfirmed,totaldeceased,totalrecovered
173,36806,596,24303,20 July 2020,2020-07-20,1154914,28101,724695
174,39170,671,27589,21 July 2020,2020-07-21,1194084,28772,752284
175,45601,1130,31875,22 July 2020,2020-07-22,1239685,29902,784159
176,48443,755,33326,23 July 2020,2020-07-23,1288128,30657,817485
177,48888,763,32514,24 July 2020,2020-07-24,1337016,31420,849999
178,50072,703,37125,25 July 2020,2020-07-25,1387088,32123,887124
179,48932,704,31512,26 July 2020,2020-07-26,1436020,32827,918636
180,46484,642,34354,27 July 2020,2020-07-27,1482504,33469,952990
181,49631,774,35683,28 July 2020,2020-07-28,1532135,34243,988673
182,52479,775,32886,29 July 2020,2020-07-29,1584614,35018,1021559
183,54968,784,37425,30 July 2020,2020-07-30,1639582,35802,1058984
184,57486,764,36554,31 July 2020,2020-07-31,1697068,36566,1095538
185,55117,854,51368,1 August 2020,2020-08-01,1752185,37420,1146906
186,52672,760,40355,2 August 2020,2020-08-02,1804857,38180,1187261
187,50488,806,43070,3 August 2020,2020-08-03,1855345,38986,1230331
188,51282,849,51220,4 August 2020,2020-08-04,1906627,39835,1281551
189,56626,919,45583,5 August 2020,2020-08-05,1963253,40754,1327134
190,62170,899,50141,6 August 2020,2020-08-06,2025423,41653,1377275
191,61455,936,50387,7 August 2020,2020-08-07,2086878,42589,1427662
192,65156,875,52135,8 August 2020,2020-08-08,2152034,43464,1479797
193,62117,1013,54474,9 August 2020,2020-08-09,2214151,44477,1534271
194,53016,887,47362,10 August 2020,2020-08-10,2267167,45364,1581633
195,61252,835,56461,11 August 2020,2020-08-11,2328419,46199,1638094
196,67066,950,57759,12 August 2020,2020-08-12,2395485,47149,1695853
197,64141,1006,54776,13 August 2020,2020-08-13,2459626,48155,1750629
198,65610,989,56920,14 August 2020,2020-08-14,2525236,49144,1807549
199,63986,952,53116,15 August 2020,2020-08-15,2589222,50096,1860665
200,58096,952,57404,16 August 2020,2020-08-16,2647318,51048,1918069
201,54298,880,58172,17 August 2020,2020-08-17,2701616,51928,1976241
202,65024,1099,60455,18 August 2020,2020-08-18,2766640,53027,2036696
203,69196,979,59365,19 August 2020,2020-08-19,2835836,54006,2096061
204,68518,981,61873,20 August 2020,2020-08-20,2904354,54987,2157934
205,69029,953,62858,21 August 2020,2020-08-21,2973383,55940,2220792
206,70067,918,59101,22 August 2020,2020-08-22,3043450,56858,2279893
207,61749,846,56896,23 August 2020,2020-08-23,3105199,57704,2336789
208,59696,854,66305,24 August 2020,2020-08-24,3164895,58558,2403094
209,66873,1066,64151,25 August 2020,2020-08-25,3231768,59624,2467245
210,75995,1017,56191,26 August 2020,2020-08-26,3307763,60641,2523436
211,76827,1066,59620,27 August 2020,2020-08-27,3384590,61707,2583056
212,76657,1019,64475,28 August 2020,2020-08-28,3461247,62726,2647531
213,78479,943,64982,29 August 2020,2020-08-29,3539726,63669,2712513
214,79461,960,60422,30 August 2020,2020-08-30,3619187,64629,2772935
215,68766,816,64435,31 August 2020,2020-08-31,3687953,65445,2837370
216,78168,892,62145,1 September 2020,2020-09-01,3766121,66337,2899515
217,82860,913,67874,2 September 2020,2020-09-02,3848981,67250,2967389
218,84156,979,67491,3 September 2020,2020-09-03,3933137,68229,3034880
219,87115,950,69625,4 September 2020,2020-09-04,4020252,69179,3104505
220,90600,916,73161,5 September 2020,2020-09-05,4110852,70095,3177666
221,91725,1005,69630,6 September 2020,2020-09-06,4202577,71100,3247296
222,75015,1129,74116,7 September 2020,2020-09-07,4277592,72229,3321412
223,89855,1107,74608,8 September 2020,2020-09-08,4367447,73336,3396020
224,95536,1168,73062,9 September 2020,2020-09-09,4462983,74504,3469082
225,96762,1213,70904,10 September 2020,2020-09-10,4559745,75717,3539986
226,97655,1202,81456,11 September 2020,2020-09-11,4657400,76919,3621442
227,94414,1111,77862,12 September 2020,2020-09-12,4751814,78030,3699304
228,93220,1140,77748,13 September 2020,2020-09-13,4845034,79170,3777052
229,81913,1054,79213,14 September 2020,2020-09-14,4926947,80224,3856265
230,91098,1281,82849,15 September 2020,2020-09-15,5018045,81505,3939114
231,97860,1140,82924,16 September 2020,2020-09-16,5115905,82645,4022038
232,96787,1175,87788,17 September 2020,2020-09-17,5212692,83820,4109826
233,92973,1221,95515,18 September 2020,2020-09-18,5305665,85041,4205341
234,92574,1149,94389,19 September 2020,2020-09-19,5398239,86190,4299730
235,87395,1135,92926,20 September 2020,2020-09-20,5485634,87325,4392656
236,74493,1056,102070,21 September 2020,2020-09-21,5560127,88381,4494726
237,83362,1085,89657,22 September 2020,2020-09-22,5643489,89466,4584383
238,86703,1123,87459,23 September 2020,2020-09-23,5730192,90589,4671842
239,85921,1144,81142,24 September 2020,2020-09-24,5816113,91733,4752984
240,85717,1093,93331,25 September 2020,2020-09-25,5901830,92826,4846315
